,0
776,27
777,28
778,28
779,28
780,28
781,28
782,28
783,28
784,27
785,26
786,26
787,26
788,25
789,26
790,26
791,27
792,28
793,28
794,27
795,27
796,27
797,25
798,27
799,26
800,28
801,28
802,28
803,28
804,29
805,29
806,29
807,29
808,29
809,29
810,29
811,29
812,29
813,29
814,28
815,30
816,29
817,29
818,28
819,28
820,27
821,27
822,29
823,28
824,28
825,28
826,29
827,29
828,29
829,28
830,28
831,28
832,29
833,28
834,28
835,29
836,28
837,28
838,27
839,27
840,27
841,27
842,27
843,27
844,27
845,27
846,27
847,27
848,28
849,28
850,28
851,28
852,29
853,29
854,29
855,29
856,29
857,29
858,29
859,28
860,27
861,26
862,26
863,26
864,26
865,26
866,26
867,26
868,25
869,25
870,25
871,25
872,25
873,25
874,26
875,26
876,26
877,26
878,26
879,27
880,27
881,27
882,27
883,27
884,26
885,26
886,25
887,25
888,25
889,25
890,24
891,23
892,24
893,25
894,26
895,26
896,26
897,26
898,26
899,26
900,26
901,27
902,27
903,26
904,23
905,20
906,5
907,179
908,177
909,176
910,176
911,176
912,179
913,179
914,176
915,176
916,175
917,175
918,175
919,175
920,174
921,175
922,175
923,4
924,2
925,6
926,5
927,6
928,10
929,10
930,10
931,28
932,28
933,28
934,29
935,29
936,29
937,29
938,28
939,27
940,25
941,25
942,26
943,24
944,22
945,24
946,26
947,26
948,26
949,26
950,27
951,25
952,25
953,25
954,26
955,28
956,28
957,28
958,28
959,29
960,29
961,29
962,29
963,29
964,29
965,29
966,29
967,29
968,29
969,29
970,29
971,29
972,29
973,28
974,29
975,28
976,28
977,28
978,28
979,28
980,29
981,29
982,28
983,28
984,28
985,28
986,28
987,28
988,28
989,28
990,29
991,28
992,27
993,27
994,27
995,27
996,27
997,27
998,27
999,27
1000,27
1001,27
1002,27
1003,28
1004,28
1005,28
1006,28
1007,29
1008,29
1009,29
1010,29
1011,29
1012,29
1013,27
1014,27
1015,26
1016,25
1017,26
1018,26
1019,26
1020,26
1021,26
1022,26
1023,26
1024,26
1025,26
1026,26
1027,26
1028,26
1029,25
1030,25
1031,26
1032,26
1033,26
1034,26
1035,26
1036,26
1037,26
1038,26
1039,26
1040,26
1041,25
1042,25
1043,25
1044,25
1045,25
1046,24
1047,24
1048,25
1049,26
1050,26
1051,26
1052,26
1053,26
1054,26
1055,26
1056,27
1057,27
1058,26
1059,23
1060,20
1061,2
1062,177
1063,177
1064,176
1065,176
1066,177
1067,0
1068,179
1069,176
1070,176
1071,174
1072,175
1073,175
1074,175
1075,173
1076,174
1077,175
1078,0
1079,1
1080,3
1081,4
1082,5
1083,7
1084,7
1085,7
1086,28
1087,29
1088,29
1089,29
1090,29
1091,29
1092,29
1093,29
1094,27
1095,26
1096,25
1097,25
1098,24
1099,23
1100,22
1101,23
1102,24
1103,22
1104,24
1105,25
1106,24
1107,25
1108,25
1109,26
1110,28
1111,27
1112,27
1113,27
1114,28
1115,28
1116,29
1117,28
1118,29
1119,29
1120,29
1121,29
1122,29
1123,29
1124,29
1125,28
1126,28
1127,29
1128,29
1129,30
1130,29
1131,29
1132,29
1133,29
1134,29
1135,29
1136,28
1137,28
1138,28
1139,29
1140,28
1141,28
1142,28
1143,28
1144,28
1145,29
1146,28
1147,27
1148,27
1149,26
1150,26
1151,26
1152,26
1153,26
1154,26
1155,27
1156,27
1157,27
1158,27
1159,27
1160,27
1161,27
1162,28
1163,28
1164,29
1165,29
1166,29
1167,29
1168,27
1169,27
1170,26
1171,25
1172,25
1173,26
1174,26
1175,27
1176,27
1177,26
1178,26
1179,26
1180,26
1181,26
1182,26
1183,26
1184,25
1185,25
1186,25
1187,26
1188,26
1189,26
1190,26
1191,26
1192,26
1193,26
1194,26
1195,26
1196,25
1197,25
1198,25
1199,25
1200,25
1201,25
1202,25
1203,25
1204,25
1205,26
1206,26
1207,26
1208,26
1209,26
1210,26
1211,26
1212,26
1213,25
1214,22
1215,20
1216,0
1217,177
1218,177
1219,177
1220,177
1221,178
1222,179
1223,178
1224,175
1225,174
1226,174
1227,175
1228,175
1229,175
1230,174
1231,174
1232,175
1233,177
1234,179
1235,2
1236,1
1237,4
1238,5
1239,5
1240,5
1241,28
1242,29
1243,30
1244,30
1245,30
1246,30
1247,30
1248,30
1249,28
1250,26
1251,25
1252,26
1253,26
1254,26
1255,23
1256,24
1257,23
1258,22
1259,24
1260,25
1261,25
1262,25
1263,25
1264,26
1265,25
1266,27
1267,27
1268,27
1269,27
1270,28
1271,28
1272,28
1273,28
1274,28
1275,28
1276,28
1277,28
1278,28
1279,28
1280,29
1281,28
1282,29
1283,29
1284,30
1285,29
1286,29
1287,29
1288,28
1289,29
1290,28
1291,28
1292,28
1293,28
1294,28
1295,29
1296,28
1297,29
1298,28
1299,29
1300,29
1301,28
1302,27
1303,27
1304,26
1305,25
1306,25
1307,26
1308,26
1309,26
1310,27
1311,27
1312,27
1313,27
1314,27
1315,27
1316,27
1317,28
1318,28
1319,28
1320,28
1321,28
1322,28
1323,27
1324,26
1325,25
1326,25
1327,25
1328,26
1329,26
1330,27
1331,27
1332,27
1333,27
1334,27
1335,26
1336,27
1337,27
1338,27
1339,26
1340,25
1341,26
1342,27
1343,27
1344,27
1345,27
1346,27
1347,26
1348,26
1349,26
1350,25
1351,24
1352,24
1353,24
1354,24
1355,25
1356,25
1357,25
1358,25
1359,25
1360,25
1361,26
1362,26
1363,26
1364,26
1365,26
1366,26
1367,26
1368,25
1369,22
1370,20
1371,0
1372,177
1373,177
1374,176
1375,176
1376,177
1377,178
1378,178
1379,177
1380,174
1381,175
1382,175
1383,174
1384,175
1385,174
1386,174
1387,175
1388,175
1389,175
1390,178
1391,178
1392,178
1393,178
1394,1
1395,0
1396,28
1397,29
1398,30
1399,31
1400,31
1401,30
1402,30
1403,30
1404,28
1405,26
1406,26
1407,27
1408,27
1409,29
1410,27
1411,23
1412,22
1413,22
1414,22
1415,23
1416,24
1417,25
1418,25
1419,26
1420,26
1421,26
1422,25
1423,26
1424,27
1425,28
1426,27
1427,28
1428,28
1429,28
1430,28
1431,28
1432,28
1433,28
1434,28
1435,29
1436,28
1437,29
1438,28
1439,29
1440,30
1441,29
1442,28
1443,27
1444,26
1445,27
1446,27
1447,28
1448,28
1449,27
1450,28
1451,29
1452,29
1453,29
1454,29
1455,28
1456,27
1457,27
1458,27
1459,26
1460,26
1461,26
1462,26
1463,27
1464,27
1465,27
1466,27
1467,27
1468,27
1469,27
1470,27
1471,27
1472,28
1473,28
1474,28
1475,28
1476,28
1477,28
1478,27
1479,25
1480,25
1481,24
1482,25
1483,25
1484,26
1485,27
1486,27
1487,27
1488,27
1489,27
1490,27
1491,27
1492,27
1493,27
1494,27
1495,27
1496,27
1497,27
1498,27
1499,27
1500,27
1501,27
1502,26
1503,25
1504,26
1505,24
1506,24
1507,25
1508,24
1509,24
1510,25
1511,25
1512,25
1513,25
1514,25
1515,25
1516,25
1517,25
1518,25
1519,25
1520,25
1521,26
1522,26
1523,26
1524,23
1525,21
1526,1
1527,177
1528,177
1529,176
1530,176
1531,177
1532,178
1533,177
1534,177
1535,176
1536,175
1537,175
1538,174
1539,174
1540,174
1541,175
1542,175
1543,173
1544,175
1545,176
1546,176
1547,176
1548,0
1549,2
1550,177
1551,28
1552,29
1553,30
1554,31
1555,31
1556,30
1557,30
1558,30
1559,29
1560,28
1561,27
1562,27
1563,29
1564,31
1565,27
1566,23
1567,22
1568,21
1569,21
1570,22
1571,23
1572,25
1573,25
1574,26
1575,26
1576,26
1577,25
1578,25
1579,26
1580,26
1581,26
1582,27
1583,27
1584,27
1585,27
1586,28
1587,28
1588,28
1589,29
1590,29
1591,29
1592,29
1593,29
1594,29
1595,30
1596,29
1597,28
1598,27
1599,27
1600,28
1601,27
1602,27
1603,28
1604,27
1605,27
1606,28
1607,29
1608,30
1609,29
1610,29
1611,28
1612,28
1613,27
1614,27
1615,26
1616,27
1617,27
1618,27
1619,27
